SVL,CREST,POND,DATE,LSVL,LCREST
108.9,10.12,4,27,2.037,1.005
94.7,5.62,7,37,1.976,0.75
96.9,2,7,28,1.986,0.302
110.1,15.04,10,24,2.042,1.177
103.7,3.88,6,9,2.016,0.589
99.3,4.45,8,12,1.997,0.648
95.5,2.34,7,32,1.98,0.37
109.8,18.02,6,16,2.041,1.256
107.9,17.39,7,15,2.033,1.24
100.7,5.9,2,25,2.003,0.771
92.4,2.77,3,1,1.966,0.443
89.9,6.35,8,26,1.954,0.803
97.9,3.37,4,6,1.991,0.527
109.4,4.59,7,32,2.039,0.662
108.8,12.55,2,21,2.037,1.099
90,1.8,3,10,1.954,0.255
93.9,4.8,2,41,1.973,0.682
91.8,4.84,6,38,1.963,0.685
93.4,7.31,2,25,1.97,0.864
111.4,23.13,4,14,2.047,1.364
97.7,5.83,9,6,1.99,0.766
106.8,8.93,7,37,2.028,0.951
111.7,7.18,4,5,2.048,0.856
87.6,6.21,6,34,1.942,0.793
111.8,9.19,6,31,2.049,0.964
98.9,9.58,4,26,1.995,0.981
106.2,2.86,10,3,2.026,0.457
88.9,2.14,5,14,1.949,0.33
112.3,3.15,4,5,2.05,0.498
90.4,3.22,9,1,1.956,0.508
103.9,5.77,5,20,2.017,0.761
106.7,15.42,5,6,2.028,1.188
111.8,7.12,8,25,2.048,0.852
105.1,8.03,9,11,2.021,0.905
103.8,6.38,1,17,2.016,0.805
95.7,8.02,2,17,1.981,0.904
91.8,3.33,10,40,1.963,0.523
89.7,3.39,6,7,1.953,0.53
100.9,11.47,8,7,2.004,1.06
100.8,9.73,10,41,2.003,0.988
88,9.37,7,38,1.945,0.972
93.6,4.65,7,2,1.971,0.667
89.5,4.28,9,11,1.952,0.632
104.7,7.77,3,13,2.02,0.89
92.2,3.28,2,22,1.965,0.516
105.3,24.45,10,36,2.022,1.388
88.8,3.18,2,4,1.948,0.502
104.5,7.84,5,17,2.019,0.894
92.7,4.09,3,25,1.967,0.612
89.6,4.13,4,9,1.952,0.616
96.4,6.12,9,36,1.984,0.787
95.9,2.16,6,25,1.982,0.335
96.7,3.65,7,44,1.985,0.562
109.6,5.52,7,11,2.04,0.742
91.9,4.73,10,18,1.963,0.675
100.3,5.4,9,41,2.001,0.732
91.6,2.7,7,42,1.962,0.431
110.3,8.94,5,23,2.043,0.952
98.3,10.31,7,22,1.993,1.013
107.3,12.86,5,21,2.031,1.109
103.7,3.61,8,31,2.016,0.557
112.4,7.89,3,24,2.051,0.897
105,12.25,10,44,2.021,1.088
93.1,6.31,7,28,1.969,0.8
90.8,4.94,1,21,1.958,0.694
100.6,8.36,8,45,2.003,0.922
97.2,17.96,4,17,1.988,1.254
99.1,5.66,10,13,1.996,0.753
100.1,6.47,6,10,2,0.811
89.5,1.89,5,35,1.952,0.276
94.8,5.12,7,34,1.977,0.709
94.3,2.51,8,13,1.974,0.4
110.3,25.94,6,8,2.043,1.414
99.3,3.09,7,20,1.997,0.491
112.4,24.05,7,36,2.051,1.381
110.8,15.84,7,5,2.044,1.2
98.1,7.09,7,15,1.992,0.85
93.2,2.8,10,28,1.969,0.447
88.7,4.28,10,11,1.948,0.631
106.7,6.49,6,23,2.028,0.812
98.4,5.04,8,13,1.993,0.702
104,7.1,5,37,2.017,0.851
105.3,5.8,7,36,2.022,0.764
99.4,10.59,1,33,1.997,1.025
102.8,6.96,2,26,2.012,0.843
91.4,1.32,5,26,1.961,0.12
91.6,9.19,7,29,1.962,0.963
